Order_ID,City,Order_Date,Category,Amount,Delivery_Time_Min,Delivery_Status,Customer_Rating,Delivery_Partner,Payment_Method
O-100289,Chennai,2024-01-13 01:00:00,Snacks,494,13,On-Time,5,DP-048,UPI
O-100290,Pune,2024-01-13 02:00:00,Dairy,825,14,On-Time,1,DP-048,COD
O-100291,Bangalore,2024-01-13 03:00:00,Dairy,380,19,On-Time,1,DP-046,UPI
O-100292,Chennai,2024-01-13 04:00:00,Beverages,776,30,Late,3,DP-006,COD
O-100293,Delhi,2024-01-13 05:00:00,Beverages,943,16,On-Time,3,DP-034,UPI
O-100294,Bangalore,2024-01-13 06:00:00,Dairy,611,34,On-Time,4,DP-014,COD
O-100295,Chennai,2024-01-13 07:00:00,Beverages,280,18,Late,5,DP-048,UPI
O-100296,Pune,2024-01-13 08:00:00,Snacks,570,17,On-Time,3,DP-023,UPI
O-100297,Chennai,2024-01-13 09:00:00,Fruits & Veg,1145,28,On-Time,4,DP-020,Card
O-100298,Pune,2024-01-13 10:00:00,Snacks,578,8,On-Time,5,DP-013,COD
O-100299,Delhi,2024-01-13 11:00:00,Dairy,1120,25,On-Time,1,DP-047,COD
O-100300,Pune,2024-01-13 12:00:00,Dairy,287,11,On-Time,4,DP-044,Card
O-100301,Bangalore,2024-01-13 13:00:00,Snacks,384,12,Late,5,DP-041,UPI
O-100302,Delhi,2024-01-13 14:00:00,Beverages,735,16,Late,4,DP-032,UPI
O-100303,Bangalore,2024-01-13 15:00:00,Beverages,827,34,On-Time,3,DP-026,COD
O-100304,Hyderabad,2024-01-13 16:00:00,Household,346,24,Cancel,2,DP-050,UPI
O-100305,Mumbai,2024-01-13 17:00:00,Dairy,1012,10,On-Time,1,DP-014,COD
O-100306,Pune,2024-01-13 18:00:00,Bakery,106,23,Late,3,DP-036,COD
O-100307,Mumbai,2024-01-13 19:00:00,Household,517,12,On-Time,3,DP-008,UPI
O-100308,Mumbai,2024-01-13 20:00:00,Beverages,236,23,Late,5,DP-040,UPI
O-100309,Pune,2024-01-13 21:00:00,Snacks,841,10,Late,4,DP-022,UPI
O-100310,Delhi,2024-01-13 22:00:00,Beverages,328,27,On-Time,1,DP-022,Card
O-100311,Hyderabad,2024-01-13 23:00:00,Snacks,595,22,Cancel,3,DP-016,COD
O-100312,Bangalore,2024-01-14 00:00:00,Household,1051,10,Late,5,DP-027,UPI
O-100313,Chennai,2024-01-14 01:00:00,Dairy,84,27,Late,1,DP-010,Card
O-100314,Bangalore,2024-01-14 02:00:00,Beverages,800,21,On-Time,4,DP-025,UPI
O-100315,Chennai,2024-01-14 03:00:00,Snacks,579,23,Late,3,DP-031,COD
O-100316,Bangalore,2024-01-14 04:00:00,Dairy,859,24,Late,3,DP-021,Card
O-100317,Pune,2024-01-14 05:00:00,Bakery,510,31,On-Time,3,DP-027,COD
O-100318,Hyderabad,2024-01-14 06:00:00,Snacks,227,27,Cancel,1,DP-017,UPI
O-100319,Chennai,2024-01-14 07:00:00,Household,991,30,On-Time,1,DP-033,UPI
O-100320,Delhi,2024-01-14 08:00:00,Bakery,943,25,On-Time,1,DP-031,UPI
O-100321,Bangalore,2024-01-14 09:00:00,Bakery,827,25,On-Time,1,DP-050,Card
O-100322,Bangalore,2024-01-14 10:00:00,Fruits & Veg,637,29,On-Time,5,DP-042,Card
O-100323,Chennai,2024-01-14 11:00:00,Beverages,1179,21,On-Time,2,DP-026,Card
O-100324,Delhi,2024-01-14 12:00:00,Snacks,563,25,On-Time,5,DP-021,Card
O-100325,Delhi,2024-01-14 13:00:00,Bakery,969,22,Cancel,3,DP-036,UPI
O-100326,Pune,2024-01-14 14:00:00,Fruits & Veg,1186,22,On-Time,5,DP-001,UPI
O-100327,Pune,2024-01-14 15:00:00,Household,178,13,On-Time,4,DP-004,UPI
O-100328,Pune,2024-01-14 16:00:00,Dairy,1194,34,On-Time,1,DP-004,Card
O-100329,Pune,2024-01-14 17:00:00,Snacks,1099,22,On-Time,4,DP-026,Card
O-100330,Pune,2024-01-14 18:00:00,Bakery,1081,25,Cancel,4,DP-004,UPI
O-100331,Pune,2024-01-14 19:00:00,Beverages,481,11,On-Time,3,DP-049,UPI
O-100332,Hyderabad,2024-01-14 20:00:00,Fruits & Veg,241,30,Late,1,DP-009,Card
O-100333,Delhi,2024-01-14 21:00:00,Bakery,583,15,On-Time,4,DP-030,COD
O-100334,Pune,2024-01-14 22:00:00,Beverages,387,22,On-Time,3,DP-045,UPI
O-100335,Delhi,2024-01-14 23:00:00,Bakery,837,10,On-Time,1,DP-004,UPI
O-100336,Delhi,2024-01-15 00:00:00,Snacks,755,22,On-Time,2,DP-005,UPI
O-100337,Mumbai,2024-01-15 01:00:00,Snacks,551,20,On-Time,3,DP-045,Card
O-100338,Hyderabad,2024-01-15 02:00:00,Snacks,147,16,On-Time,5,DP-023,UPI
O-100339,Pune,2024-01-15 03:00:00,Household,656,9,On-Time,1,DP-016,UPI
O-100340,Bangalore,2024-01-15 04:00:00,Household,336,31,Late,4,DP-022,UPI
O-100341,Chennai,2024-01-15 05:00:00,Fruits & Veg,319,15,On-Time,4,DP-037,UPI
O-100342,Bangalore,2024-01-15 06:00:00,Snacks,635,27,On-Time,5,DP-008,UPI
O-100343,Hyderabad,2024-01-15 07:00:00,Beverages,1174,24,On-Time,5,DP-048,COD
O-100344,Chennai,2024-01-15 08:00:00,Bakery,249,20,On-Time,4,DP-033,COD
O-100345,Hyderabad,2024-01-15 09:00:00,Dairy,183,8,Late,1,DP-038,UPI
O-100346,Delhi,2024-01-15 10:00:00,Beverages,257,9,On-Time,3,DP-043,UPI
O-100347,Chennai,2024-01-15 11:00:00,Household,266,22,On-Time,5,DP-016,UPI
O-100348,Delhi,2024-01-15 12:00:00,Household,139,19,Cancel,5,DP-005,UPI
O-100349,Bangalore,2024-01-15 13:00:00,Beverages,1037,21,On-Time,5,DP-016,Card
O-100350,Bangalore,2024-01-15 14:00:00,Household,1198,32,On-Time,2,DP-007,Card
O-100351,Chennai,2024-01-15 15:00:00,Snacks,938,9,On-Time,1,DP-001,Card
O-100352,Chennai,2024-01-15 16:00:00,Fruits & Veg,443,25,On-Time,1,DP-009,COD
O-100353,Pune,2024-01-15 17:00:00,Bakery,925,29,Late,1,DP-018,UPI
O-100354,Hyderabad,2024-01-15 18:00:00,Fruits & Veg,117,14,Late,1,DP-045,Card
O-100355,Pune,2024-01-15 19:00:00,Bakery,562,30,Cancel,1,DP-047,UPI
O-100356,Hyderabad,2024-01-15 20:00:00,Bakery,152,32,On-Time,4,DP-003,UPI
O-100357,Pune,2024-01-15 21:00:00,Fruits & Veg,900,13,On-Time,5,DP-024,COD
O-100358,Delhi,2024-01-15 22:00:00,Beverages,748,21,Late,4,DP-028,COD
O-100359,Chennai,2024-01-15 23:00:00,Bakery,775,15,On-Time,2,DP-010,Card
O-100360,Bangalore,2024-01-16 00:00:00,Fruits & Veg,833,34,On-Time,3,DP-009,Card
O-100361,Hyderabad,2024-01-16 01:00:00,Bakery,802,29,On-Time,5,DP-013,COD
O-100362,Hyderabad,2024-01-16 02:00:00,Dairy,999,9,On-Time,2,DP-048,COD
O-100363,Bangalore,2024-01-16 03:00:00,Beverages,976,24,On-Time,4,DP-035,UPI
O-100364,Pune,2024-01-16 04:00:00,Snacks,963,12,Late,3,DP-023,UPI
O-100365,Hyderabad,2024-01-16 05:00:00,Bakery,1067,21,Late,2,DP-047,Card
O-100366,Delhi,2024-01-16 06:00:00,Dairy,413,32,On-Time,3,DP-017,Card
O-100367,Chennai,2024-01-16 07:00:00,Snacks,267,31,On-Time,2,DP-046,COD
O-100368,Bangalore,2024-01-16 08:00:00,Snacks,357,27,On-Time,4,DP-007,Card
O-100369,Chennai,2024-01-16 09:00:00,Bakery,464,28,Late,3,DP-016,UPI
O-100370,Hyderabad,2024-01-16 10:00:00,Fruits & Veg,1074,28,On-Time,2,DP-040,COD
O-100371,Hyderabad,2024-01-16 11:00:00,Bakery,599,29,On-Time,4,DP-036,UPI
O-100372,Bangalore,2024-01-16 12:00:00,Dairy,733,10,On-Time,5,DP-020,COD
O-100373,Delhi,2024-01-16 13:00:00,Snacks,790,12,On-Time,4,DP-024,COD
O-100374,Mumbai,2024-01-16 14:00:00,Bakery,965,23,On-Time,4,DP-047,UPI
O-100375,Bangalore,2024-01-16 15:00:00,Fruits & Veg,1187,25,Late,5,DP-005,Card
O-100376,Mumbai,2024-01-16 16:00:00,Bakery,1193,33,On-Time,4,DP-045,Card
O-100377,Pune,2024-01-16 17:00:00,Beverages,526,24,On-Time,5,DP-006,Card
O-100378,Mumbai,2024-01-16 18:00:00,Fruits & Veg,502,18,On-Time,5,DP-028,Card
O-100379,Delhi,2024-01-16 19:00:00,Dairy,1120,24,On-Time,5,DP-005,UPI
O-100380,Pune,2024-01-16 20:00:00,Snacks,957,23,Late,2,DP-049,COD
O-100381,Mumbai,2024-01-16 21:00:00,Bakery,387,33,On-Time,3,DP-039,UPI
O-100382,Pune,2024-01-16 22:00:00,Fruits & Veg,914,30,Late,2,DP-038,Card
O-100383,Mumbai,2024-01-16 23:00:00,Beverages,593,9,On-Time,5,DP-002,Card
O-100384,Delhi,2024-01-17 00:00:00,Fruits & Veg,449,11,On-Time,3,DP-043,UPI
O-100385,Mumbai,2024-01-17 01:00:00,Household,525,28,On-Time,3,DP-039,COD
O-100386,Mumbai,2024-01-17 02:00:00,Beverages,1089,14,On-Time,5,DP-021,UPI
O-100387,Mumbai,2024-01-17 03:00:00,Dairy,669,9,On-Time,3,DP-040,UPI
O-100388,Bangalore,2024-01-17 04:00:00,Snacks,574,13,Late,3,DP-037,UPI
O-100389,Bangalore,2024-01-17 05:00:00,Dairy,538,24,On-Time,2,DP-018,COD
O-100390,Bangalore,2024-01-17 06:00:00,Bakery,187,14,On-Time,3,DP-048,UPI
O-100391,Delhi,2024-01-17 07:00:00,Fruits & Veg,1110,32,Late,5,DP-046,UPI
O-100392,Pune,2024-01-17 08:00:00,Household,405,12,Cancel,1,DP-012,Card
O-100393,Hyderabad,2024-01-17 09:00:00,Beverages,214,12,On-Time,1,DP-017,UPI
O-100394,Mumbai,2024-01-17 10:00:00,Beverages,976,27,Cancel,1,DP-037,Card
O-100395,Mumbai,2024-01-17 11:00:00,Fruits & Veg,1195,23,On-Time,5,DP-046,Card
O-100396,Delhi,2024-01-17 12:00:00,Household,591,26,On-Time,1,DP-038,Card
O-100397,Mumbai,2024-01-17 13:00:00,Fruits & Veg,643,16,Late,2,DP-015,COD
O-100398,Bangalore,2024-01-17 14:00:00,Bakery,920,12,On-Time,5,DP-007,Card
O-100399,Hyderabad,2024-01-17 15:00:00,Dairy,1167,15,On-Time,5,DP-014,UPI
O-100400,Chennai,2024-01-17 16:00:00,Beverages,192,16,On-Time,5,DP-050,UPI
O-100401,Mumbai,2024-01-17 17:00:00,Bakery,962,12,Late,3,DP-001,Card
O-100402,Bangalore,2024-01-17 18:00:00,Dairy,1157,17,Late,3,DP-038,Card
O-100403,Chennai,2024-01-17 19:00:00,Bakery,1131,32,On-Time,3,DP-003,UPI
O-100404,Hyderabad,2024-01-17 20:00:00,Household,124,9,On-Time,4,DP-037,Card
O-100405,Chennai,2024-01-17 21:00:00,Beverages,93,16,On-Time,2,DP-044,COD
O-100406,Bangalore,2024-01-17 22:00:00,Fruits & Veg,800,18,On-Time,5,DP-031,Card
O-100407,Pune,2024-01-17 23:00:00,Fruits & Veg,271,11,On-Time,5,DP-043,COD
O-100408,Pune,2024-01-18 00:00:00,Dairy,633,29,Late,3,DP-013,COD
O-100409,Chennai,2024-01-18 01:00:00,Snacks,526,29,On-Time,5,DP-048,COD
O-100410,Delhi,2024-01-18 02:00:00,Household,363,29,On-Time,5,DP-018,Card
O-100411,Chennai,2024-01-18 03:00:00,Dairy,1182,9,On-Time,1,DP-017,COD
O-100412,Mumbai,2024-01-18 04:00:00,Snacks,465,30,On-Time,5,DP-017,COD
O-100413,Mumbai,2024-01-18 05:00:00,Bakery,289,13,Cancel,4,DP-011,Card
O-100414,Pune,2024-01-18 06:00:00,Household,289,34,On-Time,3,DP-020,COD
O-100415,Delhi,2024-01-18 07:00:00,Bakery,202,21,On-Time,2,DP-010,Card
O-100416,Bangalore,2024-01-18 08:00:00,Beverages,834,8,On-Time,2,DP-029,UPI
O-100417,Mumbai,2024-01-18 09:00:00,Household,478,25,On-Time,1,DP-048,COD
O-100418,Pune,2024-01-18 10:00:00,Snacks,1127,14,On-Time,2,DP-034,Card
O-100419,Hyderabad,2024-01-18 11:00:00,Beverages,412,8,On-Time,2,DP-017,UPI
O-100420,Pune,2024-01-18 12:00:00,Fruits & Veg,905,8,On-Time,3,DP-042,COD
O-100421,Mumbai,2024-01-18 13:00:00,Snacks,788,8,On-Time,3,DP-013,COD
O-100422,Mumbai,2024-01-18 14:00:00,Dairy,435,31,On-Time,4,DP-044,Card
O-100423,Pune,2024-01-18 15:00:00,Fruits & Veg,643,11,On-Time,1,DP-047,UPI
O-100424,Bangalore,2024-01-18 16:00:00,Fruits & Veg,292,11,Cancel,2,DP-039,Card
O-100425,Chennai,2024-01-18 17:00:00,Dairy,276,25,On-Time,4,DP-027,COD
O-100426,Mumbai,2024-01-18 18:00:00,Household,91,34,On-Time,1,DP-026,COD
O-100427,Pune,2024-01-18 19:00:00,Fruits & Veg,396,18,On-Time,2,DP-028,COD
O-100428,Pune,2024-01-18 20:00:00,Snacks,592,34,On-Time,2,DP-013,COD
O-100429,Delhi,2024-01-18 21:00:00,Beverages,755,8,Late,3,DP-012,UPI
O-100430,Chennai,2024-01-18 22:00:00,Fruits & Veg,1180,17,On-Time,5,DP-044,UPI
O-100431,Hyderabad,2024-01-18 23:00:00,Snacks,499,16,On-Time,1,DP-028,Card
O-100432,Bangalore,2024-01-19 00:00:00,Bakery,1093,30,On-Time,2,DP-002,Card
O-100433,Hyderabad,2024-01-19 01:00:00,Snacks,461,11,On-Time,1,DP-037,Card
O-100434,Chennai,2024-01-19 02:00:00,Beverages,852,13,Late,4,DP-034,COD
O-100435,Chennai,2024-01-19 03:00:00,Snacks,172,23,On-Time,4,DP-023,Card
O-100436,Chennai,2024-01-19 04:00:00,Dairy,282,9,On-Time,5,DP-045,UPI
O-100437,Hyderabad,2024-01-19 05:00:00,Beverages,660,30,On-Time,2,DP-029,Card
O-100438,Chennai,2024-01-19 06:00:00,Household,240,25,On-Time,3,DP-035,Card
O-100439,Pune,2024-01-19 07:00:00,Bakery,96,17,On-Time,2,DP-011,UPI
O-100440,Hyderabad,2024-01-19 08:00:00,Dairy,228,31,Late,1,DP-048,UPI
O-100441,Chennai,2024-01-19 09:00:00,Household,293,31,On-Time,4,DP-033,COD
O-100442,Pune,2024-01-19 10:00:00,Snacks,743,24,Late,1,DP-011,UPI
O-100443,Delhi,2024-01-19 11:00:00,Beverages,304,20,On-Time,5,DP-009,UPI
O-100444,Chennai,2024-01-19 12:00:00,Bakery,94,31,On-Time,4,DP-014,Card
O-100445,Hyderabad,2024-01-19 13:00:00,Dairy,627,25,On-Time,3,DP-009,UPI
O-100446,Mumbai,2024-01-19 14:00:00,Household,1024,29,Late,4,DP-039,COD
O-100447,Chennai,2024-01-19 15:00:00,Household,222,20,On-Time,2,DP-048,Card
O-100448,Mumbai,2024-01-19 16:00:00,Bakery,477,24,On-Time,2,DP-003,COD
O-100449,Pune,2024-01-19 17:00:00,Snacks,670,12,On-Time,4,DP-029,UPI
O-100450,Delhi,2024-01-19 18:00:00,Bakery,441,18,On-Time,5,DP-019,COD
O-100451,Bangalore,2024-01-19 19:00:00,Household,876,14,On-Time,2,DP-036,COD
O-100452,Delhi,2024-01-19 20:00:00,Fruits & Veg,992,17,Cancel,2,DP-032,UPI
O-100453,Chennai,2024-01-19 21:00:00,Dairy,147,24,Cancel,3,DP-007,UPI
O-100454,Mumbai,2024-01-19 22:00:00,Bakery,555,22,On-Time,4,DP-028,Card
O-100455,Mumbai,2024-01-19 23:00:00,Household,634,25,Late,2,DP-044,Card
O-100456,Hyderabad,2024-01-20 00:00:00,Snacks,819,30,On-Time,5,DP-018,Card
O-100457,Mumbai,2024-01-20 01:00:00,Household,174,29,On-Time,1,DP-005,UPI
O-100458,Hyderabad,2024-01-20 02:00:00,Snacks,1157,26,On-Time,4,DP-023,COD
O-100459,Pune,2024-01-20 03:00:00,Bakery,582,33,On-Time,3,DP-022,COD
O-100460,Bangalore,2024-01-20 04:00:00,Snacks,332,9,Cancel,2,DP-026,Card
O-100461,Chennai,2024-01-20 05:00:00,Beverages,487,33,On-Time,5,DP-042,Card
O-100462,Hyderabad,2024-01-20 06:00:00,Beverages,1163,11,On-Time,4,DP-012,UPI
O-100463,Bangalore,2024-01-20 07:00:00,Beverages,669,10,On-Time,5,DP-040,COD
O-100464,Mumbai,2024-01-20 08:00:00,Fruits & Veg,340,14,On-Time,5,DP-019,Card
O-100465,Mumbai,2024-01-20 09:00:00,Bakery,895,31,On-Time,3,DP-047,UPI
O-100466,Bangalore,2024-01-20 10:00:00,Household,1177,25,Cancel,4,DP-001,Card
O-100467,Mumbai,2024-01-20 11:00:00,Household,736,17,Late,2,DP-003,UPI
O-100468,Pune,2024-01-20 12:00:00,Fruits & Veg,1021,14,Late,3,DP-027,COD
O-100469,Pune,2024-01-20 13:00:00,Snacks,634,15,On-Time,2,DP-018,UPI
O-100470,Bangalore,2024-01-20 14:00:00,Fruits & Veg,991,13,On-Time,1,DP-050,Card
O-100471,Hyderabad,2024-01-20 15:00:00,Snacks,965,29,On-Time,5,DP-030,Card
O-100472,Hyderabad,2024-01-20 16:00:00,Snacks,942,33,On-Time,1,DP-002,COD
O-100473,Bangalore,2024-01-20 17:00:00,Dairy,684,8,On-Time,5,DP-005,COD
O-100474,Hyderabad,2024-01-20 18:00:00,Household,488,11,Late,3,DP-029,Card
O-100475,Hyderabad,2024-01-20 19:00:00,Beverages,99,21,On-Time,2,DP-033,Card
O-100476,Pune,2024-01-20 20:00:00,Snacks,358,24,On-Time,2,DP-042,Card
O-100477,Hyderabad,2024-01-20 21:00:00,Dairy,955,27,On-Time,3,DP-020,COD
O-100478,Delhi,2024-01-20 22:00:00,Household,375,25,On-Time,4,DP-030,Card
O-100479,Chennai,2024-01-20 23:00:00,Beverages,1166,18,On-Time,1,DP-042,COD
O-100480,Mumbai,2024-01-21 00:00:00,Snacks,1105,28,Cancel,1,DP-005,Card
O-100481,Delhi,2024-01-21 01:00:00,Snacks,891,33,On-Time,2,DP-050,UPI
O-100482,Hyderabad,2024-01-21 02:00:00,Fruits & Veg,157,21,Late,2,DP-021,UPI
O-100483,Pune,2024-01-21 03:00:00,Fruits & Veg,1171,16,On-Time,2,DP-015,Card
O-100484,Bangalore,2024-01-21 04:00:00,Household,120,34,On-Time,3,DP-020,UPI
O-100485,Hyderabad,2024-01-21 05:00:00,Beverages,692,22,On-Time,4,DP-008,COD
O-100486,Pune,2024-01-21 06:00:00,Snacks,1002,19,Late,1,DP-049,UPI
O-100487,Chennai,2024-01-21 07:00:00,Household,336,17,Late,5,DP-031,UPI
O-100488,Hyderabad,2024-01-21 08:00:00,Household,250,26,On-Time,3,DP-012,COD
O-100489,Bangalore,2024-01-21 09:00:00,Bakery,731,31,On-Time,1,DP-021,UPI
O-100490,Pune,2024-01-21 10:00:00,Fruits & Veg,916,26,On-Time,4,DP-030,UPI
O-100491,Pune,2024-01-21 11:00:00,Beverages,444,13,On-Time,3,DP-027,Card
O-100492,Pune,2024-01-21 12:00:00,Snacks,128,27,Cancel,1,DP-044,COD
O-100493,Chennai,2024-01-21 13:00:00,Household,764,31,On-Time,3,DP-026,COD
O-100494,Hyderabad,2024-01-21 14:00:00,Snacks,441,34,On-Time,1,DP-033,Card
O-100495,Chennai,2024-01-21 15:00:00,Bakery,718,13,On-Time,1,DP-026,Card
O-100496,Mumbai,2024-01-21 16:00:00,Beverages,453,15,On-Time,4,DP-026,UPI
O-100497,Mumbai,2024-01-21 17:00:00,Household,147,8,On-Time,5,DP-036,UPI
O-100498,Hyderabad,2024-01-21 18:00:00,Snacks,989,29,On-Time,4,DP-040,UPI
O-100499,Chennai,2024-01-21 19:00:00,Fruits & Veg,934,24,On-Time,1,DP-001,Card
O-100500,Bangalore,2024-01-21 20:00:00,Bakery,117,24,On-Time,3,DP-015,COD
O-100501,Pune,2024-01-21 21:00:00,Beverages,451,31,On-Time,4,DP-050,UPI
O-100502,Pune,2024-01-21 22:00:00,Bakery,1139,22,Late,5,DP-001,Card
O-100503,Hyderabad,2024-01-21 23:00:00,Fruits & Veg,244,14,On-Time,1,DP-011,COD
O-100504,Mumbai,2024-01-22 00:00:00,Beverages,286,26,On-Time,4,DP-002,Card
O-100505,Mumbai,2024-01-22 01:00:00,Bakery,113,29,On-Time,4,DP-001,UPI
O-100506,Pune,2024-01-22 02:00:00,Dairy,443,32,On-Time,4,DP-031,Card
O-100507,Hyderabad,2024-01-22 03:00:00,Fruits & Veg,831,30,On-Time,4,DP-044,Card
O-100508,Chennai,2024-01-22 04:00:00,Fruits & Veg,225,10,On-Time,3,DP-016,Card
O-100509,Mumbai,2024-01-22 05:00:00,Fruits & Veg,1145,29,On-Time,5,DP-022,Card
O-100510,Chennai,2024-01-22 06:00:00,Dairy,1098,18,Cancel,5,DP-042,COD
O-100511,Mumbai,2024-01-22 07:00:00,Dairy,811,27,On-Time,1,DP-018,UPI
O-100512,Mumbai,2024-01-22 08:00:00,Snacks,143,26,On-Time,2,DP-047,COD
O-100513,Delhi,2024-01-22 09:00:00,Household,373,16,On-Time,3,DP-017,Card
O-100514,Mumbai,2024-01-22 10:00:00,Bakery,1018,17,On-Time,1,DP-030,Card
O-100515,Bangalore,2024-01-22 11:00:00,Snacks,876,9,On-Time,1,DP-010,UPI
O-100516,Hyderabad,2024-01-22 12:00:00,Bakery,370,8,Late,4,DP-035,UPI
O-100517,Hyderabad,2024-01-22 13:00:00,Household,277,23,On-Time,2,DP-021,COD
O-100518,Chennai,2024-01-22 14:00:00,Dairy,135,25,On-Time,2,DP-016,COD
O-100519,Mumbai,2024-01-22 15:00:00,Household,1020,30,On-Time,3,DP-006,UPI
O-100520,Bangalore,2024-01-22 16:00:00,Dairy,1037,33,On-Time,2,DP-003,COD
O-100521,Chennai,2024-01-22 17:00:00,Household,405,24,On-Time,1,DP-041,Card
O-100522,Delhi,2024-01-22 18:00:00,Snacks,412,13,On-Time,2,DP-043,Card
O-100523,Chennai,2024-01-22 19:00:00,Beverages,713,21,On-Time,2,DP-021,UPI
O-100524,Chennai,2024-01-22 20:00:00,Snacks,349,30,On-Time,5,DP-013,COD
O-100525,Mumbai,2024-01-22 21:00:00,Bakery,393,32,On-Time,1,DP-018,Card
O-100526,Delhi,2024-01-22 22:00:00,Snacks,663,22,Cancel,2,DP-024,UPI
O-100527,Chennai,2024-01-22 23:00:00,Fruits & Veg,578,21,On-Time,2,DP-027,COD
O-100528,Bangalore,2024-01-23 00:00:00,Bakery,461,31,Late,4,DP-004,Card
O-100529,Bangalore,2024-01-23 01:00:00,Household,944,29,Late,2,DP-022,COD
O-100530,Hyderabad,2024-01-23 02:00:00,Bakery,907,10,On-Time,2,DP-024,COD
O-100531,Delhi,2024-01-23 03:00:00,Beverages,1089,31,On-Time,5,DP-040,COD
O-100532,Delhi,2024-01-23 04:00:00,Dairy,677,30,On-Time,1,DP-045,UPI
O-100533,Hyderabad,2024-01-23 05:00:00,Household,765,26,On-Time,3,DP-010,Card
O-100534,Chennai,2024-01-23 06:00:00,Bakery,568,32,On-Time,1,DP-002,UPI
O-100535,Delhi,2024-01-23 07:00:00,Household,564,19,Late,4,DP-040,Card
O-100536,Bangalore,2024-01-23 08:00:00,Household,795,9,Cancel,1,DP-006,Card
O-100537,Bangalore,2024-01-23 09:00:00,Household,1171,10,On-Time,2,DP-048,UPI
O-100538,Mumbai,2024-01-23 10:00:00,Dairy,583,25,On-Time,4,DP-018,UPI
O-100539,Delhi,2024-01-23 11:00:00,Snacks,464,8,On-Time,1,DP-017,Card
O-100540,Chennai,2024-01-23 12:00:00,Household,369,27,Late,4,DP-038,Card
O-100541,Hyderabad,2024-01-23 13:00:00,Fruits & Veg,870,28,On-Time,3,DP-045,Card
O-100542,Hyderabad,2024-01-23 14:00:00,Beverages,939,13,On-Time,1,DP-023,COD
O-100543,Chennai,2024-01-23 15:00:00,Dairy,623,12,On-Time,2,DP-046,Card
O-100544,Pune,2024-01-23 16:00:00,Bakery,723,8,On-Time,4,DP-030,UPI
O-100545,Mumbai,2024-01-23 17:00:00,Dairy,642,26,Late,5,DP-021,UPI
O-100546,Hyderabad,2024-01-23 18:00:00,Bakery,927,8,On-Time,4,DP-010,UPI
O-100547,Delhi,2024-01-23 19:00:00,Dairy,844,34,On-Time,5,DP-043,Card
O-100548,Mumbai,2024-01-23 20:00:00,Bakery,519,28,Cancel,2,DP-013,Card
O-100549,Delhi,2024-01-23 21:00:00,Household,437,28,On-Time,3,DP-012,COD
O-100550,Bangalore,2024-01-23 22:00:00,Snacks,197,23,On-Time,5,DP-009,COD
O-100551,Mumbai,2024-01-23 23:00:00,Bakery,816,19,On-Time,3,DP-004,UPI
O-100552,Hyderabad,2024-01-24 00:00:00,Bakery,754,34,On-Time,4,DP-039,COD
O-100553,Mumbai,2024-01-24 01:00:00,Fruits & Veg,494,29,On-Time,2,DP-024,COD
O-100554,Mumbai,2024-01-24 02:00:00,Bakery,166,15,On-Time,5,DP-034,UPI
O-100555,Mumbai,2024-01-24 03:00:00,Fruits & Veg,137,33,On-Time,4,DP-039,Card
O-100556,Pune,2024-01-24 04:00:00,Beverages,586,23,On-Time,1,DP-041,COD
O-100557,Mumbai,2024-01-24 05:00:00,Household,846,8,Late,4,DP-005,Card
O-100558,Delhi,2024-01-24 06:00:00,Fruits & Veg,330,11,Late,3,DP-015,UPI
O-100559,Bangalore,2024-01-24 07:00:00,Snacks,209,17,On-Time,2,DP-050,UPI
O-100560,Chennai,2024-01-24 08:00:00,Household,949,18,On-Time,2,DP-004,COD
O-100561,Mumbai,2024-01-24 09:00:00,Fruits & Veg,896,24,On-Time,4,DP-039,UPI
O-100562,Hyderabad,2024-01-24 10:00:00,Household,162,32,On-Time,1,DP-008,UPI
O-100563,Mumbai,2024-01-24 11:00:00,Household,1062,34,Late,3,DP-049,UPI
O-100564,Hyderabad,2024-01-24 12:00:00,Household,897,30,On-Time,4,DP-045,COD
O-100565,Delhi,2024-01-24 13:00:00,Beverages,1101,14,On-Time,4,DP-024,COD
O-100566,Hyderabad,2024-01-24 14:00:00,Snacks,1048,19,On-Time,2,DP-028,COD
O-100567,Chennai,2024-01-24 15:00:00,Dairy,1008,28,On-Time,3,DP-043,UPI
O-100568,Bangalore,2024-01-24 16:00:00,Dairy,195,14,On-Time,1,DP-027,Card
O-100569,Hyderabad,2024-01-24 17:00:00,Fruits & Veg,1136,19,On-Time,2,DP-001,UPI
O-100570,Hyderabad,2024-01-24 18:00:00,Household,1082,22,Cancel,4,DP-034,COD
O-100571,Bangalore,2024-01-24 19:00:00,Fruits & Veg,999,9,Late,2,DP-017,Card
O-100572,Chennai,2024-01-24 20:00:00,Beverages,719,21,On-Time,2,DP-037,Card
O-100573,Mumbai,2024-01-24 21:00:00,Beverages,788,20,On-Time,5,DP-038,COD
O-100574,Hyderabad,2024-01-24 22:00:00,Bakery,934,11,Late,2,DP-026,Card
O-100575,Bangalore,2024-01-24 23:00:00,Beverages,95,21,On-Time,2,DP-024,Card
O-100576,Delhi,2024-01-25 00:00:00,Bakery,316,21,On-Time,3,DP-039,COD
O-100577,Bangalore,2024-01-25 01:00:00,Snacks,529,23,On-Time,2,DP-021,Card
O-100578,Delhi,2024-01-25 02:00:00,Fruits & Veg,1037,14,Late,1,DP-030,Card
